mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,median_x,median_y,median_z,rms_x,rms_y,rms_y,label
4.433492487,0.164394115,2.17769547,5.347149073,9.022233208,5.771918561,4.8672784,-2.37166815,4.56011725,6.925455856,8.978513828,6.142007082,clockwise
4.822527517,-0.99776513,2.847306917,5.866465361,8.600114032,5.312249128,5.61332715,-4.06015685,5.0624727,7.571527807,8.614979802,6.003744462,clockwise
5.405714771,0.02969821,4.287839411,3.269063581,7.614702101,3.754566413,4.932543,0.29817993,5.54447035,6.30885577,7.576591132,5.686947166,clockwise
2.862096247,2.674206951,3.179615961,5.38671534,9.689084595,7.21807116,3.2111224,3.9422021,5.81870015,6.076029136,10.00454694,7.854266574,clockwise
3.661086744,3.088724934,3.65956591,4.945903232,9.467469598,4.261559781,4.197272,5.77259585,4.5649071,6.133587477,9.913469247,5.601045037,clockwise
3.565226058,1.285418945,3.464587383,6.191609715,9.480346394,5.414813823,4.2775047,2.44052495,5.50615,7.117830245,9.520005249,6.405495483,clockwise
4.243555472,0.55091443,2.046927401,5.352060905,8.493158503,3.660611429,5.518125,-1.3998889,2.1279749,6.809249108,8.468524704,4.178036268,clockwise
5.391739816,-2.346939511,1.107301368,6.192268783,8.378586375,6.078002851,6.66593785,-4.61999265,1.81602355,8.187283371,8.660648221,6.14807399,clockwise
4.870847034,0.00857421,1.962574807,3.558754512,7.484184106,4.05658466,6.0210793,-2.9722193,2.4758516,6.021896476,7.446674099,4.488097614,clockwise
4.622579285,1.452148245,2.336125981,5.892796744,8.532400493,6.584745288,3.6727624,4.3858795,5.08762,7.466327222,8.612930634,6.955772164,clockwise
5.058281242,0.440563854,3.998988062,4.704351427,7.855225365,4.759463297,4.58227135,0.79694274,5.70373885,6.891721284,7.828257558,6.198215185,clockwise
4.610496418,1.604435577,2.368997611,4.698367434,8.434182723,3.722634109,3.89609795,2.75966115,3.7074902,6.565865305,8.543904104,4.396768625,clockwise
4.568751274,1.740448711,2.468726251,4.647586033,8.603525644,4.077348018,4.40144705,3.1656171,3.908073,6.500580249,8.735537115,4.749013423,clockwise
5.19859351,0.75064698,2.389295441,4.901180312,8.00396609,6.081642885,5.74804675,-0.17723145,4.8379395,7.127883785,7.999144287,6.505785816,clockwise
3.875021805,1.691494539,5.441879573,5.134136942,7.106732818,4.361683815,4.20325925,2.7333161,7.08925795,6.411829888,7.270608545,6.960466661,clockwise
5.220831191,-0.064689477,3.92014402,4.711601757,7.089731286,4.353007351,5.8725877,-1.0364447,5.4977673,7.016714155,7.054490169,5.841807546,clockwise
5.136263087,-0.729978022,3.716651184,3.957599211,7.871116583,5.817799696,5.35765885,-0.810115325,5.7953484,6.472029365,7.865608649,6.879085796,clockwise
5.975717472,0.095944469,3.719573089,3.380104919,7.018619082,4.592989515,5.71331905,1.45257935,5.7929535,6.857117286,6.984096865,5.892352766,clockwise
5.728383772,0.179830011,4.018327852,2.54013532,6.783131168,2.392482068,5.76720715,-1.66274225,4.091292,6.26116165,6.75152565,4.670512763,clockwise
4.467441854,3.483903196,5.152094181,4.900278088,7.21009401,3.315490448,4.6613065,3.91585685,6.95393925,6.612914244,7.975160347,6.11773051,clockwise
4.328003861,3.191950269,4.728043951,4.823331077,7.133058696,2.938627006,3.72784795,5.156477,5.110373,6.462468171,7.782047777,5.559098218,clockwise
4.048684703,2.38093685,5.031217565,5.511910926,7.606378357,3.831027217,4.4667115,4.85829715,6.08514595,6.816831981,7.933932321,6.31214322,clockwise
4.377353222,2.561233915,5.584323308,4.708942897,7.162297092,2.741449109,4.2236171,5.1001943,6.2725563,6.411990565,7.572676793,6.21490584,clockwise
3.520523029,5.133544762,5.132275411,3.192333283,5.933544344,2.64864246,2.26928105,6.825207,5.457052,4.741641517,7.823564457,5.769350458,clockwise
2.3130021,5.797001073,5.183133595,3.742032978,8.673056121,6.518816255,1.7663269,7.54730525,6.4665528,4.383236409,10.39590808,8.302703751,clockwise
3.957769766,3.406328464,4.977940312,5.082548944,7.36501132,2.921695385,3.86137015,6.01868425,5.48399585,6.421675969,8.08109098,5.764618863,clockwise
4.630387109,-1.096356148,3.647866248,7.378885849,9.668463873,5.063676041,4.22241925,0.95202025,5.14031075,8.680089953,9.682272384,6.220235933,clockwise
