mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,median_x,median_y,median_z,rms_x,rms_y,rms_z,label
8.90586815,0.795565616,3.623999858,0.225638781,0.617456428,0.338208064,8.9364165,0.74904235,3.5817517,8.908697505,1.005168924,3.639590062,none
8.96962366,0.44826383,3.574961826,0.328081923,0.300346029,0.201287675,8.947793,0.427511,3.6212695,8.975561819,0.538744949,3.580567499,none
8.938057205,-1.477200149,2.327599733,0.419566241,1.513701598,1.357783572,8.9262375,-1.4747333,1.90883055,8.947800963,2.109620792,2.691256395,none
8.96400726,-2.560263899,1.364981508,0.237762233,0.356046525,0.26449109,8.980725,-2.60997245,1.3555811,8.967128399,2.584657167,1.390118879,none
9.04038442,-2.388181757,1.308351272,0.065054567,0.073975153,0.076160442,9.038804,-2.3854395,1.3040882,9.040616143,2.38931574,1.310543956,none
7.920006273,-2.368434808,4.468663372,1.0846186,2.085673506,2.825622452,8.033494,-2.36448315,4.494254,7.99319291,3.148970796,5.279512587,none
6.807495735,-2.357321919,6.64177238,0.410123544,0.463967357,0.439410169,6.7353937,-2.4932153,6.59289005,6.819715353,2.402099016,6.656146846,none
6.745991624,-2.615181703,6.541804257,0.065298245,0.069606877,0.069157447,6.7407823,-2.6207501,6.53900185,6.746304486,2.616098623,6.542166144,none
3.134014792,1.818418587,8.631506706,2.955460658,3.073225067,2.560920272,3.04466855,1.29390935,8.931028,4.297609677,3.557655316,8.999757637,none
4.462316552,4.868847192,4.68061062,2.022366974,5.465131828,2.959025447,4.983437,7.26529175,5.1552797,4.895031921,7.298949391,5.529592124,none
-0.027722347,1.382932161,8.797948547,1.155213766,5.219543286,3.313517823,-0.096998293,0.17723145,9.978849,1.149757446,5.37435551,9.395398075,none
1.031762431,-1.676597491,8.63114746,0.98027652,4.921331678,1.806831081,0.784967675,0.014370118,8.843011,1.419812082,5.175740486,8.816388073,none
2.518339096,-5.580934391,7.323346976,1.28327099,2.346534849,0.771415367,1.76453065,-6.47313905,7.0940477,2.823534733,6.049627445,7.363459906,none
2.954987067,2.615888242,9.103732662,0.214969882,2.348729733,0.645887631,2.9374914,2.87102975,9.308842,2.962718093,3.507739634,9.126387429,none
3.190106133,6.42740614,7.295193542,0.117544694,0.372232049,0.324331866,3.19256105,6.485114,7.298822,3.192249321,6.438068097,7.302327578,none
3.13979875,-4.442521717,7.558777455,0.737721373,3.231125366,0.842402804,3.09795775,-5.17563725,7.41677665,3.22445758,5.48377321,7.60510767,none
1.985387376,-4.609526475,6.532415778,0.859552501,5.890910055,2.659904686,2.1243823,-6.5096632,6.49110175,2.161759753,7.456777279,7.048176921,none
3.303833631,0.614214739,9.066573956,1.816388397,2.375150021,1.932200841,3.85598145,0.09041199,9.0076685,3.765845297,2.441758381,9.268162137,none
1.067412302,-3.262711167,9.477643125,0.999301837,1.084682308,1.387371967,1.0843451,-3.27698555,9.39147025,1.458762195,3.436575987,9.577644396,none
-5.590466588,-6.187976035,5.993548344,2.866497712,1.25420598,2.352813659,-6.13125015,-6.1827431,5.98216005,6.27598261,6.312554928,6.434516031,none
-4.163705472,-3.667996374,7.881805776,6.774203498,5.534086509,5.384951211,-3.092569,-3.63264585,8.347242,7.92258657,6.616196019,9.530508111,none
-8.425642813,-3.028490223,2.868191572,3.967898014,4.180456584,4.3549539,-8.729846,-3.4643957,2.8021728,9.304742302,5.145212153,5.19639203,none
-10.01504961,0.685777917,-0.238029024,2.117457664,3.529175182,1.908297234,-9.3549465,-0.2269281,-0.281414795,10.23425666,3.577823087,1.913593522,none
-9.786816181,-1.6177758,-1.698475998,2.944487672,2.951348905,2.818725757,-9.567504,-1.09811645,-1.7178277,10.21592279,3.352693588,3.278808237,none
-8.158514289,-2.132226002,-1.036959631,2.261580676,3.273981444,1.796400445,-8.3717905,-1.1837384,-0.94962522,8.463152786,3.893347232,2.066414598,none
