mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,label
2.128908928,-8.84489097,-3.124889747,1.755833756,7.846920333,4.626989969,clockwise
3.250975541,-0.15156881,2.925839696,5.140998673,8.055862776,6.473884229,clockwise
4.950074215,-0.314825354,2.954232661,5.824683831,8.268022007,4.994112118,clockwise
3.556460332,1.621021077,3.582757597,5.63356078,9.238215335,5.192156563,clockwise
2.581555576,3.211278101,3.12867391,6.197633447,9.773337908,5.852861999,clockwise
4.302472952,-0.76937605,1.313057497,5.303820923,9.583848774,5.551060321,clockwise
2.307840824,7.237365821,4.431468746,4.106756846,3.849885319,3.333076841,clockwise
4.129061561,2.341993777,5.129245646,5.307507064,7.571835018,4.96219383,clockwise
4.710692086,-0.14499445,3.458300419,4.982610837,8.232160347,3.299760075,clockwise
5.57706645,-0.567631594,5.759554922,3.087065336,7.305737791,1.546497056,clockwise
2.950125201,4.173082021,4.256440672,4.169941398,6.291785491,4.26465683,clockwise
3.636681497,1.980776927,5.11642036,5.633336943,8.538502139,4.860403482,clockwise
5.463087441,1.384524863,5.257930078,5.701768711,8.039872028,3.563308536,clockwise
3.292804589,1.080153802,4.121649014,7.534677173,11.19923273,6.5223092,clockwise
3.419285554,0.31856151,2.761385648,6.350047664,10.11419112,6.460583252,clockwise
4.503486964,2.032988337,6.17762956,3.062421484,6.819916816,1.217153614,clockwise
3.647782393,2.03100054,2.556934788,6.38385419,8.394793704,7.216538359,clockwise
5.229740742,-1.477762991,3.889823107,4.697911447,8.405794514,4.639803184,clockwise
4.853842351,2.699833651,7.074205149,1.737408046,4.849663375,1.108561355,clockwise
4.336625955,1.637690387,2.553246494,4.919767956,8.583645787,4.690702077,clockwise
3.914240302,1.722174707,4.058300748,5.304808432,8.27842193,2.575475433,clockwise
4.403914015,2.639203726,4.865506161,3.790896825,9.227764982,5.020883065,clockwise
4.227305282,2.22658976,5.086087416,5.58073079,8.210306575,4.584839494,clockwise
3.867273995,1.751908856,3.954261079,5.647066074,9.957694898,5.992163784,clockwise
4.733624371,-0.478333263,4.611382562,4.690170944,9.070928424,6.300212282,clockwise
4.750581109,0.115966794,4.713194858,4.777695583,8.280167529,4.687859605,clockwise
4.027237281,1.268079006,3.418207817,7.141287998,9.508681356,7.061578171,clockwise
4.911131277,-1.01051864,3.908360537,7.206380203,9.570051949,6.036439577,clockwise
4.287264588,0.890180903,2.506615427,7.401764844,9.985139995,6.648277351,clockwise
3.057841224,0.9924961,1.507664811,8.241822208,11.03794998,6.624272427,clockwise
3.382833351,1.238081443,2.867712645,7.713937281,11.8495805,7.576751053,clockwise
4.023560975,1.75342977,1.909812515,6.373901187,9.491785139,6.744154386,clockwise
4.433492487,0.164394115,2.17769547,5.347149073,9.022233208,5.771918561,clockwise
4.822527517,-0.99776513,2.847306917,5.866465361,8.600114032,5.312249128,clockwise
5.405714771,0.02969821,4.287839411,3.269063581,7.614702101,3.754566413,clockwise
2.862096247,2.674206951,3.179615961,5.38671534,9.689084595,7.21807116,clockwise
3.661086744,3.088724934,3.65956591,4.945903232,9.467469598,4.261559781,clockwise
3.565226058,1.285418945,3.464587383,6.191609715,9.480346394,5.414813823,clockwise
4.243555472,0.55091443,2.046927401,5.352060905,8.493158503,3.660611429,clockwise
5.391739816,-2.346939511,1.107301368,6.192268783,8.378586375,6.078002851,clockwise
4.870847034,0.00857421,1.962574807,3.558754512,7.484184106,4.05658466,clockwise
4.622579285,1.452148245,2.336125981,5.892796744,8.532400493,6.584745288,clockwise
5.058281242,0.440563854,3.998988062,4.704351427,7.855225365,4.759463297,clockwise
4.610496418,1.604435577,2.368997611,4.698367434,8.434182723,3.722634109,clockwise
4.568751274,1.740448711,2.468726251,4.647586033,8.603525644,4.077348018,clockwise
5.19859351,0.75064698,2.389295441,4.901180312,8.00396609,6.081642885,clockwise
3.875021805,1.691494539,5.441879573,5.134136942,7.106732818,4.361683815,clockwise
5.220831191,-0.064689477,3.92014402,4.711601757,7.089731286,4.353007351,clockwise
5.136263087,-0.729978022,3.716651184,3.957599211,7.871116583,5.817799696,clockwise
5.975717472,0.095944469,3.719573089,3.380104919,7.018619082,4.592989515,clockwise
5.728383772,0.179830011,4.018327852,2.54013532,6.783131168,2.392482068,clockwise
4.467441854,3.483903196,5.152094181,4.900278088,7.21009401,3.315490448,clockwise
4.328003861,3.191950269,4.728043951,4.823331077,7.133058696,2.938627006,clockwise
4.048684703,2.38093685,5.031217565,5.511910926,7.606378357,3.831027217,clockwise
4.377353222,2.561233915,5.584323308,4.708942897,7.162297092,2.741449109,clockwise
3.520523029,5.133544762,5.132275411,3.192333283,5.933544344,2.64864246,clockwise
2.3130021,5.797001073,5.183133595,3.742032978,8.673056121,6.518816255,clockwise
3.957769766,3.406328464,4.977940312,5.082548944,7.36501132,2.921695385,clockwise
