mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,label
3.881572239,0.303484863,-2.952663925,5.958866578,9.106190443,6.626272903,counterclockwise
4.334434481,1.033798203,-1.185594558,5.28899187,9.495630436,6.750982324,counterclockwise
4.30629303,1.952731274,1.311536658,3.704369174,8.196067914,5.752962246,counterclockwise
4.943739434,1.673962936,3.346608697,2.028555852,7.504890803,3.828730671,counterclockwise
3.360607592,1.140496361,-0.135929345,3.981447803,9.305940677,4.610046374,counterclockwise
4.135959182,0.384137225,-1.667089253,4.670669957,10.1547158,5.56832413,counterclockwise
4.52861071,2.075452025,0.15790366,4.618792006,7.982648873,6.478549019,counterclockwise
4.698944476,2.530637504,3.105777496,3.171341067,7.052466604,3.065622859,counterclockwise
6.14257845,-2.363896261,0.223431355,2.4095712,6.413360888,4.754467951,counterclockwise
3.875057808,1.426389837,-0.780752423,4.802649558,8.71700793,5.71524364,counterclockwise
4.330985666,-0.385095243,0.032632134,4.399689941,9.511024462,5.236848008,counterclockwise
4.339990941,0.504594704,0.52270102,3.972914154,8.818100028,4.01199969,counterclockwise
3.653746004,0.555931942,-0.047589027,5.761735481,10.19375611,5.21453508,counterclockwise
4.872787011,-0.022369456,1.075519478,4.081802721,8.217976485,5.109218646,counterclockwise
3.041064099,2.423987269,0.54816005,6.375541802,9.505652651,7.671029307,counterclockwise
3.944441492,2.833811071,-0.485925502,6.209473969,8.119131391,6.450872191,counterclockwise
4.607023658,2.642389148,2.705378121,4.441863701,8.161871791,5.76389603,counterclockwise
6.906984844,-0.066916829,4.946984697,2.458163923,5.877925248,2.189458781,counterclockwise
4.943152676,-0.151281412,0.207181183,5.608313384,7.503944034,5.808038483,counterclockwise
4.244118303,1.675771235,1.897310547,4.325357935,9.058817627,3.85586312,counterclockwise
4.895192417,1.479092198,1.102451464,4.344647621,8.839052706,4.398014286,counterclockwise
5.016847387,0.660857698,1.349533645,4.689542071,8.165996724,3.409970809,counterclockwise
