mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,median_x,median_y,median_z,rms_x,rms_y,rms_y,label
2.825620074,0.427666611,0.041972703,8.088180905,11.32292159,7.818672779,3.70988525,-5.76541065,2.00642765,8.529279715,11.27427899,7.779594417,counterclockwise
3.711825209,0.221251954,2.070733908,5.528760192,9.573139751,3.374300021,5.400769,0.61971131,2.269281,6.636201003,9.527723079,3.944614119,counterclockwise
3.59420578,-0.074952144,-0.121104154,6.406741552,9.791252088,3.896403571,6.3707521,-3.62965215,0.098794557,7.318072775,9.742461142,3.878763642,counterclockwise
3.974463031,0.944176576,-1.154111985,5.577905415,10.46197149,5.964451671,5.259463,-2.68840945,-2.2704785,6.826291447,10.45226235,6.045734973,counterclockwise
3.484022931,2.051693458,0.579570795,6.372817692,9.391930137,5.006219608,5.58817935,1.24421265,0.82328795,7.234990882,9.567429865,5.014729775,counterclockwise
3.279368544,3.30421681,2.164462968,4.205540263,8.050245484,2.771502923,4.81219315,4.60143115,2.80816045,5.316386109,8.66465444,3.505612087,counterclockwise
3.550460775,0.530616495,0.867021032,6.787775901,10.34724021,5.367372271,5.39298515,1.2154724,2.2345532,7.630133314,10.30903876,5.410390348,counterclockwise
3.28914019,-0.661743938,0.644691351,5.769094093,9.670290995,3.539659191,5.5869817,-4.0685394,0.92328005,6.61574375,9.644547044,3.580436042,counterclockwise
4.501750567,-0.211204715,1.007321288,5.009682922,9.411456295,4.932521244,5.6989491,-2.2129981,0.459843755,6.716525286,9.366662262,5.010106221,counterclockwise
2.895434899,2.434669063,1.382333425,5.025197411,9.054450372,4.226626571,3.9883062,3.0787976,2.8614496,5.777856539,9.332248082,4.426801796,counterclockwise
2.451937164,3.632119018,2.061177777,5.065581876,8.637511901,3.072749182,3.95058465,5.48160085,2.9722192,5.604954451,9.330210838,3.687251481,counterclockwise
3.093371313,0.526473182,1.070334223,6.07354044,10.42552674,5.466273709,2.5141717,-0.16346007,2.19862785,6.788811429,10.38661956,5.543190609,counterclockwise
3.628502528,0.638775632,0.645625409,5.324141376,10.00981572,4.332169955,4.3727069,1.91362065,1.162782,6.420984907,9.980104251,4.358537796,counterclockwise
3.416411507,1.252894592,1.592484412,4.119937295,9.628678197,3.629996018,4.42898985,4.1493714,2.2147944,5.336291977,9.661991215,3.947291348,counterclockwise
3.017185737,2.87062251,3.556747702,3.764500717,8.392378145,2.529300387,3.3949402,4.08410705,4.24337585,4.809694456,8.829958347,4.357044991,counterclockwise
4.589995056,2.115628495,5.003111964,2.787101152,7.219849051,1.527418305,5.2073711,3.2183075,5.20497615,5.362677327,7.488714312,5.228843652,counterclockwise
3.534186605,-0.491709513,1.784876324,5.54078617,9.385227423,4.123665585,5.8372615,-2.7243347,2.3399341,6.548571083,9.351120098,4.474411153,counterclockwise
3.460551749,0.700339665,2.473815667,4.332750243,9.247458466,3.086109399,3.42068675,1.90703435,2.44531485,5.528147595,9.227719591,3.943170611,counterclockwise
3.187483579,2.161121916,1.21981939,5.034884206,9.043601616,5.121932878,3.7973034,3.77395185,3.6883302,5.937727675,9.254151005,5.240211235,counterclockwise
3.530450384,2.062447126,1.741646232,3.766921961,8.928990115,2.952422651,5.0678615,4.2421784,2.6009911,5.148969213,9.120487047,3.415108067,counterclockwise
5.621338376,-1.976094679,4.319094404,3.353398955,6.595613984,1.875488565,6.1887305,-2.13456115,4.742139,6.536992952,6.853616036,4.704982386,counterclockwise
4.288917192,0.698687117,1.199533544,4.573801734,8.590469791,3.577501129,5.8923469,-2.9566515,0.920884985,6.253421172,8.575918214,3.756249447,counterclockwise
3.981899635,0.858195383,0.974916648,4.796222706,9.132512162,3.441837717,4.8062055,-1.68309998,0.74724613,6.215242508,9.127170971,3.560652591,counterclockwise
3.694018239,2.905374218,3.36566106,3.555988849,7.311530775,3.593745548,3.6236645,3.38536,4.65591785,5.115112597,7.833587734,4.910553062,counterclockwise
4.448629032,3.369672751,3.442050237,3.284381424,7.208192886,2.37575775,4.9139815,4.4780875,3.8972956,5.519926629,7.924213443,4.175582889,counterclockwise
6.477378237,-1.852152447,0.888145103,2.014124704,5.377044243,4.193364333,6.94016785,-3.72964415,2.31837885,6.78030679,5.661620565,4.265825021,counterclockwise
6.47283965,-0.454766317,0.890647856,2.736239464,5.162414292,6.19769123,6.4144608,-1.2316388,2.12258605,7.022092955,5.156629569,6.230611239,counterclockwise
3.031891167,1.279000297,-0.366773281,7.58077415,10.0631382,6.107563107,5.12653945,-0.46044251,1.1238629,8.129318507,10.09405392,6.088006773,counterclockwise
3.488549552,1.200922714,-0.650858558,8.024468162,10.69822298,7.205384508,6.73838765,-3.06203245,0.425714715,8.713101995,10.71212727,7.198750385,counterclockwise
2.990253728,2.280908794,0.112122834,6.569635294,9.913228143,5.871853029,3.9996826,5.3085608,0.6113287,7.188193387,10.12382913,5.843495782,counterclockwise
4.568092576,1.622505951,2.316175486,4.159725265,8.305841528,4.125088882,6.036048,3.55600525,3.65360225,6.164231576,8.421974769,4.712840288,counterclockwise
3.641818795,0.844915009,0.365982941,4.648646294,9.505381212,4.696573005,4.18050665,-0.58139102,1.08973385,5.88699052,9.4954005,4.687340773,counterclockwise
4.054720185,0.907281339,0.229526714,6.364582971,9.935638643,5.362891143,5.59536425,-0.9023236,0.643661525,7.519547393,9.927381604,5.340943541,counterclockwise
5.085165334,0.069659092,-0.125798429,5.350886731,9.889505229,5.889622089,6.8629284,-2.65727425,0.322728868,7.362375662,9.840180025,5.861450086,counterclockwise
3.003222786,1.844260801,-0.546244109,4.99656052,9.633072172,5.098963411,4.0146515,5.3133507,0.094004515,5.808210393,9.760605339,5.102726351,counterclockwise
0.730983863,4.387579963,-1.738856012,6.062573081,9.40395327,6.011390791,0.7747888,7.8359051,-0.77359131,6.076313179,10.33444975,6.228890052,counterclockwise
1.234560714,5.254157908,-1.99254849,6.269126213,8.596555997,6.901087945,0.512534165,9.3633285,-1.0579999,6.358699882,10.03832369,7.149756231,counterclockwise
4.065665393,2.133136123,-0.211587983,4.858481212,8.560112683,5.971148409,5.13971185,1.2765454,1.86691775,6.316520116,8.780264436,5.94498416,counterclockwise
4.404800158,1.734544997,2.516159593,2.741618437,7.452006339,3.988233394,5.47621235,3.07999515,3.34105215,5.181078205,7.614835575,4.698723725,counterclockwise
5.59985499,-1.378273821,2.738525212,1.652921822,7.264902543,4.584950401,5.70733165,-3.02431085,4.71040475,5.836369158,7.358713175,5.320815052,counterclockwise
3.913761275,-0.76950781,-0.077993826,4.877527321,8.692038341,4.78912478,5.6049445,-3.39374265,-0.682580585,6.234572749,8.6826354,4.765757236,counterclockwise
4.26849961,1.499533703,-0.358043437,3.458167843,8.423248866,4.818943773,5.55584645,0,0.40356079,5.482647581,8.514118367,4.808138101,counterclockwise
3.934226707,1.568618003,-1.64231279,4.699981377,9.177610171,6.18750711,5.8654029,0.05508545,-0.178428945,6.11122463,9.265355126,6.371780214,counterclockwise
3.647159717,1.197473801,-0.894455958,4.518187122,10.29901943,4.728434436,4.60203015,-3.466192,-0.9855505,5.788924661,10.31712395,4.78900436,counterclockwise
2.918618695,4.243136325,0.315795315,4.067203411,9.11995462,5.35808181,3.1751971,8.2933535,1.9255957,4.989494687,10.01728718,5.340568973,counterclockwise
4.688765652,3.321832244,3.137403747,2.713087911,7.039501345,2.945028769,6.0252705,4.9774494,4.26612855,5.410338334,7.752006376,4.292990191,counterclockwise
1.523316257,2.872011648,-2.182856713,6.840455926,10.0178881,7.237591747,0.5670209,7.20541625,-2.2608985,6.97455456,10.37318428,7.524876768,counterclockwise
3.716950575,0.844675515,-0.466106736,5.179318004,9.614218384,5.419973344,5.78097835,-1.3100757,0.65922913,6.353959648,9.603246321,5.412910994,counterclockwise
3.973397299,2.06790777,2.67528471,4.111333572,8.217393549,4.422024597,5.4510645,2.8830048,4.11105115,5.702799242,8.433655418,5.149359844,counterclockwise
6.065518694,-0.531957782,2.795059641,1.922586441,6.998183007,4.15346959,6.41086865,-2.51836315,3.50570985,6.360022977,6.983394506,4.98910362,counterclockwise
