mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,label
3.190106133,6.42740614,7.295193542,0.117544694,0.372232049,0.324331866,none
3.13979875,-4.442521717,7.558777455,0.737721373,3.231125366,0.842402804,none
1.985387376,-4.609526475,6.532415778,0.859552501,5.890910055,2.659904686,none
3.303833631,0.614214739,9.066573956,1.816388397,2.375150021,1.932200841,none
1.067412302,-3.262711167,9.477643125,0.999301837,1.084682308,1.387371967,none
-5.590466588,-6.187976035,5.993548344,2.866497712,1.25420598,2.352813659,none
-4.163705472,-3.667996374,7.881805776,6.774203498,5.534086509,5.384951211,none
-8.425642813,-3.028490223,2.868191572,3.967898014,4.180456584,4.3549539,none
-10.01504961,0.685777917,-0.238029024,2.117457664,3.529175182,1.908297234,none
-9.786816181,-1.6177758,-1.698475998,2.944487672,2.951348905,2.818725757,none
-8.158514289,-2.132226002,-1.036959631,2.261580676,3.273981444,1.796400445,none
-10.67266203,-1.573012909,-1.738879984,1.820942316,1.269395349,1.234365553,none
-9.238955464,-1.065795663,-3.096999748,1.267364915,1.161777596,1.248968511,none
-9.178074031,-4.520168258,-0.746910788,0.739121997,1.596080183,1.307256837,none
-4.493463799,-6.885980554,2.236720716,2.627583946,1.28451922,1.476107657,none
-0.898802931,-9.463476625,2.46465472,0.78199355,1.142663338,1.049392638,none
0.353121681,-9.291202859,1.253469398,0.618900441,1.090148472,0.68373644,none
0.195086321,-9.221447958,1.427024482,0.687747737,0.837350507,0.612945506,none
1.886760455,-8.960797917,1.814263232,0.901568677,0.865194289,0.889150893,none
0.979826436,-8.853872298,1.14578932,2.517059912,1.037077446,1.254931208,none
-3.798572825,-8.69291498,2.568885968,0.790042697,1.299676179,1.026392546,none
-2.738513241,-6.588854406,5.580946386,4.221702076,4.917276459,2.722616657,none
1.793869637,-8.171950366,4.666947027,0.643731122,1.297796884,1.452298512,none
3.307258511,-7.779155156,3.716267997,1.87458951,2.032293657,1.234934547,none
3.358966991,-6.629378216,5.040402431,2.348976194,1.985321741,0.679696674,none
-1.039091193,-7.904235039,5.449687344,0.611303093,0.349139236,0.323106616,none
-0.574110131,-8.040583494,5.380555082,0.468379603,0.244517693,0.255753651,none
-0.200355358,-7.89388859,5.547571764,0.125716311,0.099507222,0.124348139,none
-0.46367578,-8.20619909,5.046988747,0.117779294,0.090509957,0.127960556,none
-0.613783628,-8.299425275,4.834706192,0.089228439,0.086399816,0.087223456,none
-0.649888548,-8.29137802,4.84629805,0.091750606,0.07705822,0.077165182,none
-0.69195707,-8.24972855,4.928351429,0.088324947,0.07553821,0.091535017,none
-0.564302527,-8.297796635,4.897898773,0.173948161,0.131157105,0.130195875,none
-0.140276294,-8.675048105,4.054863883,0.152190616,0.203024596,0.21438136,none
-1.80568906,-8.268625304,4.466747341,0.964510365,0.501589864,0.461160898,none
-2.338161767,-8.118409634,4.559829772,0.600570254,0.276380069,0.233345814,none
0.709380831,-8.87925956,3.331999079,1.175581766,0.34371706,0.448092997,none
3.09867628,-8.018357719,3.680642076,0.355322891,0.566045304,0.75304897,none
3.045722397,-7.944950361,3.862328258,0.784502986,0.998274047,1.021348427,none
0.590839349,-8.84024469,3.25731037,0.485879999,0.248890503,0.466700135,none
-0.753772526,-8.605951867,4.20573814,0.81270926,0.625862559,0.811996178,none
-4.518934814,-6.677949135,5.397032821,1.608607396,0.924984914,0.473814278,none
-6.816201641,-5.166703782,5.119366231,0.111179092,0.10195696,0.09912611,none
-6.739117937,-5.051814688,5.324763128,0.072290311,0.076447387,0.076989763,none
-2.192424829,3.338956597,9.278928385,0.74523094,2.293107429,0.76903658,none
-5.727365872,-2.869963892,7.827546558,0.87409467,1.734180612,1.271562362,none
-5.792342732,-3.844940392,7.068972033,1.834690135,1.036404935,0.980744462,none
-2.267927823,-4.678012013,8.17997369,1.08429814,1.698683679,2.449778341,none
-3.930622229,-8.51321671,2.244636237,0.367672674,0.487840963,0.484142363,none
-3.625760206,-8.486272716,2.440441075,0.363245838,0.307139069,0.270517086,none
-2.959801042,-6.249360366,6.504861072,0.552175264,1.711940783,2.565982498,none
-2.916810462,-0.120074303,9.813808085,0.402782199,1.192476754,0.554801489,none
-2.291315181,-0.681035786,10.10255173,1.06529244,2.083538921,1.799304092,none
-3.1624796,-1.718270843,9.25675046,0.999298901,1.572301594,1.025358127,none
-3.941747095,-2.077942901,9.259732215,0.556193003,0.952245887,0.335994283,none
-4.020375584,-2.381619407,9.020242334,0.582197723,0.392559649,0.43518351,none
-4.334039307,-2.245606242,9.0201465,0.497773281,0.517139439,0.216435334,none
-3.802428805,-3.027807641,8.936260966,0.480116532,0.654590698,0.661084546,none
-4.125780384,-2.796460723,8.90736503,0.141544547,0.28145047,0.102655196,none
-4.191176389,-2.966004148,8.776980165,0.158153019,0.316618732,0.166799701,none
